system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,corr_matrix_img_save_path,feature_column_names_sorted,feature_column_values_sorted,duration_train_test
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787268,28,0.29853 total sec (00h 00m 00s),pearson-correlation-pipeline,3,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,chunk-statistic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_4_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: pearson): ['001', '01', 'chn_addr', '10', '11', '011', '101', 'chunk_number_in_heap', '0', '00', 'block_position_in_chunk', '111', '1', '000', '100', 'std_dev', 'mean', 'chunk_byte_size', 'chunk_vns', 'chunk_ptrs', 'mad', 'kurt', '010', '110', 'shannon_entropy', 'skew', 'filtered', 'entropy']","descending_best_column_values (algorithm: pearson): [2.0465972555109273, 2.0398049221840306, 2.0371909315386856, 2.035837980378564, 2.0324709022146643, 2.028162774122693, 2.0279692179713886, 2.0267962039629133, 2.022054550890485, 2.0214631918265127, 2.018375616749996, 2.0127172283426913, 2.0087437138761786, 2.003369318467251, 2.0013271357830487, 1.9997778285352739, 1.999555512445081, 1.998935471493875, 1.9987098539209676, 1.99777885159274, 1.9961807828157523, 1.9938611066388223, 1.984181657371087, 1.9836449490634291, 1.9727999650858725, 1.9727984060370272, 1.3806975977629774, 1.3485755790351217]",1.589261 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61019725824,2023_10_24_21_07_26_787743,36,0.555618 total sec (00h 00m 00s),pearson-correlation-pipeline,4,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/1_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_none_-s_none,chunk-statistic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_1_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: pearson): ['000', '010', '01', '111', '100', '0', '110', '001', '1', 'chunk_vns', 'mean', '11', '101', '00', 'chunk_ptrs', 'shannon_entropy', '10', '011', 'chunk_number_in_heap', 'mad', 'kurt', 'chn_addr', 'block_position_in_chunk', 'skew', 'chunk_byte_size', 'std_dev', 'entropy']","descending_best_column_values (algorithm: pearson): [2.0378480130512733, 2.0228990311378174, 2.022015184545014, 2.0213262653795443, 2.0196252178367726, 2.01838835719003, 2.017605622360109, 2.0173844374786984, 2.016527929867517, 2.006643237551741, 2.0063880977865853, 2.003712918944818, 2.002308791086461, 2.000772757734284, 2.0004297747836035, 1.9973420702185607, 1.995055207423603, 1.9940641935296475, 1.9926032913834784, 1.9908511941587816, 1.9891187556588454, 1.9879832778175195, 1.9876236219129582, 1.984707394471742, 1.9798319607383008, 1.974201478284678, 1.0933565379969488]",1.33003 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787269,81,0.958977 total sec (00h 00m 00s),pearson-correlation-pipeline,0,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: pearson): ['chns_children_4', 'ptrs_children_7', 'ptrs_ancestor_1', 'block_position_in_chunk', 'ptrs_children_5', 'chns_ancestor_4', 'chunk_vns', 'chns_ancestor_5', 'ptrs_ancestor_4', 'ptrs_ancestor_7', 'chunk_byte_size', 'chns_children_5', 'chns_children_2', 'chn_addr', 'chunk_number_in_heap', 'chns_children_6', 'chns_ancestor_8', 'ptrs_children_3', 'ptrs_ancestor_5', 'chunk_ptrs', 'ptrs_ancestor_2', 'chns_ancestor_2', 'chns_children_3', 'ptrs_children_2', 'chns_ancestor_6', 'ptrs_children_8', 'chns_ancestor_7', 'ptrs_children_6', 'ptrs_ancestor_8', 'chns_ancestor_3', 'chns_ancestor_1', 'ptrs_ancestor_3', 'ptrs_children_1', 'ptrs_children_4', 'ptrs_ancestor_6', 'chns_children_7', 'chns_children_1', 'chns_children_8', 'entropy']","descending_best_column_values (algorithm: pearson): [2.0236637910950774, 2.022091415202444, 2.018768109780855, 2.016572419922172, 2.0140987933745276, 2.0136049486272825, 2.013534542416175, 2.0131314567299796, 2.0106665136738493, 2.0081194974594347, 2.007981009927285, 2.0076939997383345, 2.00739325391146, 2.007320888951504, 2.006339174023869, 2.0057656466176748, 2.004104239627076, 2.003806648973521, 2.0028669036822966, 2.002217513345243, 2.001548930469621, 2.0010757161190407, 1.9991423495120688, 1.9990419795438472, 1.99858532884699, 1.9975157840041604, 1.9955412556650354, 1.9953859513854093, 1.9948948588257653, 1.9938965206771848, 1.993726872261101, 1.9909176232426524, 1.9907628642080184, 1.989430907732559, 1.9885171408277602, 1.9884456490756277, 1.9876701552848173, 1.9853228157385232, 1.1050764184849224]",2.608691 total sec (00h 00m 02s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787267,111,1.177878 total sec (00h 00m 01s),pearson-correlation-pipeline,1,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: pearson): ['ptrs_ancestor_5', 'chns_children_2', 'chns_children_4', 'ptrs_children_6', 'chns_ancestor_1', 'chns_children_8', 'ptrs_children_4', 'ptrs_ancestor_2', 'chns_children_7', 'ptrs_ancestor_7', 'chns_children_1', 'chns_ancestor_2', 'chns_ancestor_5', 'chns_ancestor_8', 'ptrs_ancestor_4', 'chns_ancestor_6', 'chns_children_6', 'chunk_ptrs', 'ptrs_children_7', 'ptrs_ancestor_3', 'ptrs_ancestor_6', 'chunk_vns', 'ptrs_children_5', 'chns_ancestor_4', 'chunk_number_in_heap', 'chns_ancestor_3', 'chunk_byte_size', 'block_position_in_chunk', 'chns_children_5', 'chns_children_3', 'ptrs_ancestor_8', 'chns_ancestor_7', 'ptrs_ancestor_1', 'ptrs_children_1', 'ptrs_children_2', 'ptrs_children_3', 'ptrs_children_8', 'chn_addr', 'entropy', 'filtered']","descending_best_column_values (algorithm: pearson): [2.0273171279302837, 2.025147085699858, 2.0240837858249874, 2.0238035304870885, 2.0184724346874487, 2.017286508375973, 2.0137548019568126, 2.0126836043588625, 2.0126262747112187, 2.0126185583372025, 2.010568206004919, 2.009571066885291, 2.0093350246839567, 2.0091914648815505, 2.0080221168299506, 2.00784144209451, 2.0075485318937623, 2.0073764412183817, 2.004907304677752, 2.00361956765201, 2.0024801605777927, 2.0008985904233674, 2.0007063307410426, 2.0000300755178215, 1.999952317955298, 1.999610690797124, 1.9990122829285488, 1.9973558019756952, 1.9954444694148907, 1.9945002238088543, 1.994422671754229, 1.994372669400011, 1.9939687473018377, 1.993673428433066, 1.9921969335800376, 1.9919469309480609, 1.9902820706467996, 1.9854119140321425, 1.3132953663284817, 1.2975083671452863]",2.653643 total sec (00h 00m 02s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787268,28,0.29853 total sec (00h 00m 00s),kendall-correlation-pipeline,3,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,chunk-statistic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_4_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: kendall): ['entropy', 'filtered', '001', '011', 'chunk_number_in_heap', '111', '000', '01', '110', '0', 'chunk_vns', '11', 'mean', '100', '00', '1', 'chn_addr', 'chunk_ptrs', 'shannon_entropy', 'chunk_byte_size', '10', 'kurt', '101', '010', 'mad', 'skew', 'block_position_in_chunk', 'std_dev']","descending_best_column_values (algorithm: kendall): [2.757795993699788, 2.125239114238581, 1.6781056479909446, 1.6696263239652855, 1.6650087354780434, 1.6588848398000289, 1.6576279682652024, 1.656164343387085, 1.643023042881431, 1.641798234351297, 1.631174761763629, 1.628777557201682, 1.6247235657426038, 1.6219951900147216, 1.6135130561510402, 1.6123687528847093, 1.598392232069375, 1.5975087476122254, 1.5947400702869496, 1.5904439257278513, 1.5823407752974181, 1.580675831981652, 1.5794304910668369, 1.5767602041487494, 1.5723592153065487, 1.567535479978093, 1.5515368034523456, 1.5514340963244877]",3.423133 total sec (00h 00m 03s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61019725824,2023_10_24_21_07_26_787743,36,0.555618 total sec (00h 00m 00s),kendall-correlation-pipeline,4,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/1_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_none_-s_none,chunk-statistic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_1_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: kendall): ['entropy', '1', '111', '101', '001', '100', '10', '01', '110', 'block_position_in_chunk', '011', '010', 'chunk_number_in_heap', '11', '000', 'chunk_byte_size', 'chunk_vns', 'mad', 'kurt', 'chunk_ptrs', '0', 'chn_addr', 'shannon_entropy', 'mean', 'std_dev', '00', 'skew']","descending_best_column_values (algorithm: kendall): [2.135958829501509, 1.3965171143046784, 1.394901510170143, 1.3886963858603496, 1.386905263616426, 1.38222118447965, 1.3804695962009985, 1.376849517413649, 1.376472278257501, 1.3747669677855203, 1.366514210706738, 1.3664312231020719, 1.3661422756168569, 1.3591944952135333, 1.35899904038282, 1.3568065818226884, 1.3535858392135214, 1.3531223099449303, 1.3474691042528475, 1.3458503192562519, 1.3456382995906189, 1.33894564082165, 1.3368217467143297, 1.3346095762191155, 1.3295520615155525, 1.3200570740517084, 1.2984185592988005]",4.34246 total sec (00h 00m 04s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787268,28,0.29853 total sec (00h 00m 00s),spearman-correlation-pipeline,3,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,chunk-statistic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_spearman_correlation_matrix_4_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: spearman): ['entropy', 'filtered', '001', '011', 'chunk_number_in_heap', '000', '01', '111', '110', '0', 'chunk_vns', '11', 'mean', '100', '00', '1', 'chn_addr', 'shannon_entropy', 'chunk_ptrs', 'chunk_byte_size', '10', 'kurt', '101', '010', 'mad', 'skew', 'block_position_in_chunk', 'std_dev']","descending_best_column_values (algorithm: spearman): [3.3686631095712176, 2.3584807063448188, 1.981149981876852, 1.9726739974672454, 1.9625026928505394, 1.952921900537389, 1.9523164987136645, 1.9517363257119487, 1.9338110228905911, 1.9286730188923102, 1.912433917897257, 1.9070679025467847, 1.904782514741228, 1.8983172989849728, 1.8903617345206392, 1.8868319698495657, 1.8676032466109795, 1.862204748199324, 1.859857835366487, 1.8538244363836884, 1.8422835414767145, 1.8422641676775833, 1.8378932957752172, 1.8340935152069149, 1.8272636076008395, 1.8228521991033941, 1.7994286719545272, 1.7948974694418578]",1.233684 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787273,474,3.64 total sec (00h 00m 03s),pearson-correlation-pipeline,2,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-start-bytes-embedding_-e_only-max-entropy_-s_activate,chunk-start-bytes-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_5_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-start-bytes-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: pearson): ['block_position_in_chunk', 'byte_2', 'byte_4', 'byte_3', 'byte_5', 'byte_1', 'chunk_byte_size', 'byte_7', 'byte_8', 'chunk_ptrs', 'byte_0', 'chunk_vns', 'chunk_number_in_heap', 'byte_6', 'chn_addr', 'byte_9', 'entropy', 'filtered']","descending_best_column_values (algorithm: pearson): [2.005412940712129, 2.0053151504462847, 2.005308121243412, 2.004701866192797, 2.0035971210127914, 2.0034759503723483, 2.0031847845506072, 2.002445166178193, 2.0015002414170526, 2.0011923869569364, 2.000527769235424, 2.0002758040700392, 1.9998788741047249, 1.9995096625757138, 1.999233434275008, 1.9968514967004396, 1.1759853389040298, 1.1758551038436955]",1.232724 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61019725824,2023_10_24_21_07_26_787743,36,0.555618 total sec (00h 00m 00s),spearman-correlation-pipeline,4,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/1_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_none_-s_none,chunk-statistic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_spearman_correlation_matrix_1_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: spearman): ['entropy', '1', '111', '101', '001', '100', '10', '110', '01', 'block_position_in_chunk', 'chunk_number_in_heap', '010', '011', '11', '000', 'chunk_byte_size', 'mad', 'chunk_vns', 'kurt', 'chunk_ptrs', '0', 'chn_addr', 'shannon_entropy', 'mean', 'std_dev', '00', 'skew']","descending_best_column_values (algorithm: spearman): [2.5767715489544867, 1.583356426862989, 1.580252989406271, 1.5724804238722334, 1.5685403553947357, 1.560988442656514, 1.5585967880605205, 1.5539760527868132, 1.5533486469598896, 1.5504680650548894, 1.5389120975057198, 1.5377514061627426, 1.537700336131684, 1.5288615995476729, 1.5287881573945554, 1.5243751247257544, 1.5191311985775138, 1.518967690390035, 1.5114892914315738, 1.5081818604873092, 1.507335189795002, 1.4985069916848757, 1.4954785204281327, 1.4919695176726095, 1.4852102668858758, 1.4695674841754962, 1.439560346201099]",1.307956 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61018177536,2023_10_24_21_07_26_789654,782,4.794963 total sec (00h 00m 04s),pearson-correlation-pipeline,5,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/2_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-start-bytes-embedding_-e_none_-s_none,chunk-start-bytes-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_2_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-start-bytes-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: pearson): ['byte_1', 'chn_addr', 'byte_2', 'byte_4', 'chunk_vns', 'byte_3', 'byte_5', 'block_position_in_chunk', 'chunk_byte_size', 'byte_8', 'chunk_number_in_heap', 'chunk_ptrs', 'byte_7', 'byte_9', 'byte_6', 'byte_0', 'entropy']","descending_best_column_values (algorithm: pearson): [2.0049853523298045, 2.004793733713291, 2.0023063030489068, 2.002276434107325, 2.00206516020732, 2.0014900697620215, 2.0013626641108773, 2.0009616088431352, 2.00078486921088, 2.0005797391629083, 1.9997111115513253, 1.999116437295619, 1.9991072133970278, 1.9990327467862206, 1.9989987848753592, 1.9987282500485568, 1.016541096725713]",1.289707 total sec (00h 00m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57805901824,2023_10_24_21_07_33_685048,81,0.848319 total sec (00h 00m 00s),pearson-correlation-pipeline,0,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: pearson): ['chns_children_4', 'ptrs_children_7', 'ptrs_ancestor_1', 'block_position_in_chunk', 'ptrs_children_5', 'chns_ancestor_4', 'chunk_vns', 'chns_ancestor_5', 'ptrs_ancestor_4', 'ptrs_ancestor_7', 'chunk_byte_size', 'chns_children_5', 'chns_children_2', 'chn_addr', 'chunk_number_in_heap', 'chns_children_6', 'chns_ancestor_8', 'ptrs_children_3', 'ptrs_ancestor_5', 'chunk_ptrs', 'ptrs_ancestor_2', 'chns_ancestor_2', 'chns_children_3', 'ptrs_children_2', 'chns_ancestor_6', 'ptrs_children_8', 'chns_ancestor_7', 'ptrs_children_6', 'ptrs_ancestor_8', 'chns_ancestor_3', 'chns_ancestor_1', 'ptrs_ancestor_3', 'ptrs_children_1', 'ptrs_children_4', 'ptrs_ancestor_6', 'chns_children_7', 'chns_children_1', 'chns_children_8', 'entropy']","descending_best_column_values (algorithm: pearson): [2.0236637910950788, 2.0220914152024445, 2.018768109780856, 2.016572419922173, 2.0140987933745307, 2.0136049486272816, 2.01353454241618, 2.0131314567299774, 2.0106665136738533, 2.0081194974594303, 2.0079810099272817, 2.007693999738332, 2.0073932539114594, 2.0073208889515044, 2.0063391740238674, 2.0057656466176748, 2.0041042396270767, 2.0038066489735193, 2.0028669036823, 2.0022175133452405, 2.001548930469625, 2.001075716119039, 1.9991423495120675, 1.9990419795438485, 1.998585328846991, 1.9975157840041564, 1.9955412556650354, 1.9953859513854035, 1.9948948588257602, 1.9938965206771808, 1.9937268722611048, 1.9909176232426504, 1.9907628642080166, 1.9894309077325607, 1.9885171408277595, 1.9884456490756248, 1.9876701552848166, 1.9853228157385232, 1.1050764184849224]",2.416843 total sec (00h 00m 02s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57736257536,2023_10_24_21_07_34_865983,111,1.050608 total sec (00h 00m 01s),pearson-correlation-pipeline,1,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_pearson_correlation_matrix_3_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate.png,"descending_best_column_names (algorithm: pearson): ['ptrs_ancestor_5', 'chns_children_2', 'chns_children_4', 'ptrs_children_6', 'chns_ancestor_1', 'chns_children_8', 'ptrs_children_4', 'ptrs_ancestor_2', 'chns_children_7', 'ptrs_ancestor_7', 'chns_children_1', 'chns_ancestor_2', 'chns_ancestor_5', 'chns_ancestor_8', 'ptrs_ancestor_4', 'chns_ancestor_6', 'chns_children_6', 'chunk_ptrs', 'ptrs_children_7', 'ptrs_ancestor_3', 'ptrs_ancestor_6', 'chunk_vns', 'ptrs_children_5', 'chns_ancestor_4', 'chunk_number_in_heap', 'chns_ancestor_3', 'chunk_byte_size', 'block_position_in_chunk', 'chns_children_5', 'chns_children_3', 'ptrs_ancestor_8', 'chns_ancestor_7', 'ptrs_ancestor_1', 'ptrs_children_1', 'ptrs_children_2', 'ptrs_children_3', 'ptrs_children_8', 'chn_addr', 'entropy', 'filtered']","descending_best_column_values (algorithm: pearson): [2.0273171279302757, 2.0251470856998615, 2.0240837858249745, 2.0238035304870876, 2.0184724346874394, 2.0172865083759834, 2.0137548019568063, 2.0126836043588625, 2.0126262747112027, 2.012618558337192, 2.0105682060049146, 2.009571066885282, 2.0093350246839523, 2.009191464881546, 2.0080221168299492, 2.0078414420945023, 2.0075485318937605, 2.0073764412183697, 2.0049073046777504, 2.003619567652022, 2.002480160577795, 2.0008985904233643, 2.000706330741026, 2.000030075517814, 1.9999523179552887, 1.9996106907971198, 1.999012282928542, 1.9973558019756927, 1.9954444694148976, 1.9945002238088443, 1.9944226717542162, 1.9943726694000021, 1.9939687473018353, 1.9936734284330642, 1.9921969335800345, 1.9919469309480524, 1.9902820706467972, 1.9854119140321422, 1.3132953663284799, 1.297508367145284]",2.606023 total sec (00h 00m 02s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787269,81,0.958977 total sec (00h 00m 00s),kendall-correlation-pipeline,0,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_kendall_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: kendall): ['entropy', 'ptrs_ancestor_8', 'ptrs_children_5', 'chns_children_2', 'chns_ancestor_1', 'chns_ancestor_3', 'ptrs_ancestor_2', 'chns_children_7', 'ptrs_children_6', 'ptrs_ancestor_1', 'chns_children_1', 'ptrs_ancestor_5', 'chns_ancestor_6', 'chns_children_3', 'chns_ancestor_7', 'ptrs_children_8', 'chunk_vns', 'ptrs_children_7', 'chunk_ptrs', 'ptrs_children_3', 'chns_children_6', 'block_position_in_chunk', 'chns_children_8', 'chunk_byte_size', 'ptrs_ancestor_3', 'ptrs_children_4', 'chns_ancestor_8', 'chns_ancestor_5', 'chns_children_4', 'chns_ancestor_2', 'chn_addr', 'chunk_number_in_heap', 'ptrs_children_1', 'ptrs_children_2', 'ptrs_ancestor_7', 'ptrs_ancestor_4', 'chns_ancestor_4', 'chns_children_5', 'ptrs_ancestor_6']","descending_best_column_values (algorithm: kendall): [2.481676952564607, 1.579041602407049, 1.5783072058676049, 1.5761558754440097, 1.569406063586049, 1.5669688653136216, 1.5644133865951002, 1.5555710506455864, 1.554210827730569, 1.5539468686455487, 1.5535483176056646, 1.5528118476784059, 1.5485177733862605, 1.5474382138894152, 1.5469858699641568, 1.54482778001129, 1.5434042681321267, 1.5408736599031618, 1.537123852379653, 1.5344624058207024, 1.5342958112697946, 1.5342391831209714, 1.5327815436448844, 1.5308447858464438, 1.5300148091393477, 1.52997824507343, 1.5293098177290663, 1.5245357748820518, 1.5242854837739863, 1.5182387097896581, 1.5172133429373214, 1.5162428918710749, 1.514256913594411, 1.5140146172715032, 1.508261581075585, 1.5072438420633225, 1.5048779864206825, 1.4955409238221837, 1.4922845371446225]",10.183152 total sec (00h 00m 10s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,61020758016,2023_10_24_21_07_26_787269,81,0.958977 total sec (00h 00m 00s),spearman-correlation-pipeline,0,feature-evaluation-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,chunk-semantic-embedding,/home/onyr/code/phdtrack/memory_graph_gcn/logs/results/feature_corr/feature_spearman_correlation_matrix_0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none.png,"descending_best_column_names (algorithm: spearman): ['entropy', 'ptrs_ancestor_8', 'ptrs_children_5', 'chns_children_2', 'chns_ancestor_1', 'chns_ancestor_3', 'ptrs_ancestor_2', 'chns_children_7', 'ptrs_ancestor_1', 'ptrs_children_6', 'chns_children_1', 'ptrs_ancestor_5', 'chns_ancestor_6', 'chns_children_3', 'chns_ancestor_7', 'ptrs_children_8', 'chunk_vns', 'ptrs_children_7', 'chunk_ptrs', 'chns_children_6', 'ptrs_children_3', 'block_position_in_chunk', 'chns_children_8', 'chunk_byte_size', 'ptrs_ancestor_3', 'chns_ancestor_8', 'ptrs_children_4', 'chns_ancestor_5', 'chns_children_4', 'chns_ancestor_2', 'chn_addr', 'chunk_number_in_heap', 'ptrs_children_2', 'ptrs_children_1', 'ptrs_ancestor_7', 'ptrs_ancestor_4', 'chns_ancestor_4', 'chns_children_5', 'ptrs_ancestor_6']","descending_best_column_values (algorithm: spearman): [2.849356436766178, 1.6609506219025678, 1.6600520721109402, 1.6571249817114353, 1.6492064475259094, 1.6474512271883561, 1.6441648242720222, 1.6342541752745918, 1.6324611693003817, 1.6323455698671725, 1.6314665927324123, 1.630885468336425, 1.625652936288321, 1.6249761525935025, 1.6243111775557852, 1.62216213422209, 1.6204020670889299, 1.6169788213685545, 1.6124185051781663, 1.610484225516149, 1.6102279074121861, 1.6094580946363926, 1.6081066612612003, 1.606056844958021, 1.6051506318292477, 1.6044487188076995, 1.6041069096902831, 1.5988312722747897, 1.5980441868085136, 1.591535805774049, 1.5906416313070997, 1.5890339742010124, 1.5876351960892805, 1.5867993122568538, 1.5806130864037637, 1.5797718123058775, 1.5766896143534597, 1.5664741098081885, 1.5623343937233842]",2.862197 total sec (00h 00m 02s)
